Ref_Date,Unadjusted,Seasonally_adjusted,Stock_Exchange_value,Dow_Jones_index,"Standard and Poor's (500), 1941-43=10 (index)",Unemployment,GDP
99/04,22587382,22389229,55851.3,10789,1335.18,1324,1157593
99/05,23892100,22300484,42692.2,10559.7,1301.84,1270.3,1159874
99/06,24036828,22450487,48280.5,10970.8,1372.71,1145.7,1168148
99/07,23994614,22614164,40744.4,10655.2,1328.72,1247.9,1174866
99/08,22926469,22806183,44430,10829.3,1320.41,1222.6,1181059
99/09,22984278,22817165,47947.6,10337,1282.71,1064,1189048
99/10,22813633,22967565,41433.7,10729.9,1362.93,1027,1192608
99/11,22972959,23036527,54996.9,10877.8,1388.91,1021.4,1202590
99/12,28143999,23387176,54197.1,11497.1,1469.25,982.7,1210599
00/01,19324692,23434451,151267,10940.5,1394.46,1128.9,1216821
00/02,19140440,23378327,296365.1,10128.3,1366.42,1132.7,1217080
00/03,22918829,23813646,410579.2,10921.9,1498.58,1130.4,1227255
00/04,22914155,23537859,161914.9,10733.9,1452.43,1111,1225970
00/05,25659687,23644020,146258.9,10522.3,1420.6,1074.7,1232911
00/06,25945400,23841011,133008.7,10447.9,1454.6,1018.9,1237501
00/07,24821347,24204193,116178.5,10522,1430.83,1143.9,1240239
00/08,25102965,24266358,167296.3,11215.1,1517.68,1178.5,1244766
00/09,24710257,24495699,166611.6,10650.9,1436.51,1004.6,1246969
00/10,23687124,24330740,148080,10971.1,1429.4,1014.1,1249249
00/11,24556357,24373656,101911.4,10414.5,1314.95,1036.7,1250028
00/12,29057176,24518477,96239.6,10786.8,1320.28,1007,1253076
01/01,20607642,24640517,98794,10887.4,1366.01,1181.7,1253028
01/02,19444855,24477976,85844,10495.3,1239.94,1175.5,1252494
01/03,23652255,24583988,84858,9878.8,1160.33,1200.7,1253017
01/04,24370700,24944482,72136,10735,1249.47,1180.7,1251590
01/05,27585889,25143416,85535,10911.9,1255.82,1147.2,1256507
01/06,27243919,25190078,74550,10502.4,1224.38,1101.9,1254970
01/07,25507932,24813831,47705,10522.8,1211.23,1196.7,1252539
